ID,chap,sp,trat,orient,pend,sol,Solvege,dom,alt0,a10,a20,vol0,frutos0,t0,t0pond,fustes0n,tocon0,sup1,frutos1,alt1,a11,a21,vol2,t1,sup2,frutos2,alt2,a12,a22,vol2,t2,sup3,frutos3,alt3,a13,a23,vol3,t3,sup4,frutos4,alt4,a14,a24,vol4,t4,sup5,frutos5,alt5,a15,a25,vol5,t5,nfustes5
60,67,ata,a,178,35,122,25,sub,377,320,270,32572800,588,0.50,1.00,1,14,1,0,140,80,97,1086400,0.55,1,0,175,127,124,2755900,0.17,1,0,127,115,73,1066165,0.45,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
61,68,ang,a,178,30,120,70,sub,430,380,660,107844000,960,1.00,2.00,14,11,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
62,69,ata,c,178,25,117,28,dom,398,270,260,27939600,554,0.50,1.00,3,19,1,0,190,103,127,2485390,NA,1,0,325,276,225,20182500,NA,1,0,413,390,413,66521910,NA,1,980,400,390,410,63960000,3.50,1,0,214,160,150,5136000,NA,16
63,70,ang,a,170,38,116,35,sub,410,460,377,71102200,805,0.50,1.00,9,14,1,0,165,110,101,1833150,1.58,1,0,117,100,90,1053000,0.90,1,0,140,80,50,560000,0.67,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
64,71,ang,a,174,32,118,15,sub,370,520,330,63492000,768,0.50,1.00,4,12,1,0,160,105,125,2100000,1.07,1,0,139,130,100,1807000,0.65,1,0,113,80,60,542400,0.60,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
65,72,ang,b,185,30,118,10,dom,470,520,518,126599200,1029,1.50,3.00,11,19,1,0,234,137,130,4167540,NA,1,0,360,313,350,39438000,3.17,1,0,150,150,185,4162500,NA,1,0,332,255,207,17524620,1.92,1,0,150,167,125,3131250,NA,14
66,73,ata,b,180,28,115,15,dom,410,480,520,102336000,939,1.50,3.00,1,18,1,0,153,143,111,2428569,NA,1,0,326,230,273,20469540,1.78,1,0,229,162,208,7716384,NA,1,250,400,390,300,46800000,3.23,1,0,188,142,245,6540520,NA,16
68,75,ata,a,180,25,125,75,dom,510,540,440,121176000,1010,1.50,3.00,3,12,1,0,229,76,99,1722996,1.00,1,0,53,40,34,72080,0.08,1,0,161,100,90,1449000,0.45,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
69,76,ata,b,179,13,122,60,sub,386,330,250,31845000,583,1.50,3.00,1,12,1,0,220,106,110,2565200,NA,1,0,385,156,98,5885880,0.50,1,0,170,176,120,3590400,NA,1,0,314,288,200,18086400,1.08,1,0,204,134,97,2651592,NA,7
70,77,ang,b,180,24,125,80,sub,470,400,420,78960000,841,0.50,1.00,6,14,1,0,160,71,84,954240,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
71,78,ang,c,181,18,119,70,sub,535,490,270,70780500,803,1.00,2.00,12,14,1,0,216,100,97,2095200,NA,1,0,371,203,165,12426645,NA,1,32,417,460,343,65794260,NA,1,480,550,350,380,73150000,4.08,1,0,218,148,169,5452616,NA,24
72,79,ata,a,197,23,129,30,sub,560,520,120,34944000,604,14.00,14.00,2,28,1,0,217,115,88,2196040,1.13,1,0,102,61,63,391986,0.62,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
73,80,ang,a,179,40,123,35,sub,400,260,420,43680000,659,0.50,1.00,2,26,1,0,188,71,84,1121232,0.87,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
74,85,ata,c,170,50,130,60,sub,280,120,170,5712000,323,0.50,0.50,1,10,1,0,114,147,63,1055754,NA,1,0,140,185,70,1813000,NA,1,0,241,205,125,6175625,NA,1,550,268,268,168,12066432,1.40,1,0,130,109,78,1105260,NA,9
75,82,ang,b,173,35,142,40,dom,310,240,190,14136000,432,1.50,3.00,1,11,1,0,147,82,85,1024590,NA,1,0,243,144,100,3499200,0.30,1,0,153,73,57,636633,NA,1,0,220,180,160,6336000,0.83,1,0,146,100,47,686200,NA,7
76,83,ang,a,173,35,142,30,dom,350,336,390,45864000,673,3.00,6.00,11,19,1,0,196,130,115,2930200,2.00,1,0,166,145,110,2647700,1.57,1,0,109,110,100,1199000,1.22,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
77,84,ang,a,166,38,144,20,dom,280,270,290,21924000,506,3.00,3.00,10,24,1,0,153,137,117,2452437,2.35,1,0,149,112,111,1852368,1.92,1,0,154,100,108,1663200,1.50,1,0,105,90,104,982800,2.23,1,0,80,70,79,442400,2.82,16
78,86,ang,c,180,45,139,35,dom,460,640,615,181056000,1205,17.00,34.00,32,35,1,0,223,206,210,9646980,NA,1,210,349,337,307,36107191,NA,1,1200,390,390,430,65403000,NA,1,4000,362,505,515,94147150,18.83,1,0,137,208,175,4986800,NA,50
79,87,ang,b,184,44,145,15,dom,340,300,520,53040000,713,7.00,14.00,13,19,1,0,195,132,144,3706560,NA,1,210,238,234,200,11138400,2.83,1,0,190,150,165,4702500,NA,1,0,304,247,283,21249904,3.83,1,0,157,158,130,3224780,NA,21
81,89,ang,c,178,32,145,10,sub,230,130,190,5681000,323,2.00,2.00,5,17,1,0,70,83,46,267260,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
82,90,ang,a,184,44,145,15,dom,410,560,550,126280000,1028,3.00,6.00,33,15,1,0,252,177,185,8251740,4.72,1,0,206,170,190,6653800,2.53,1,0,87,83,78,563238,1.08,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
83,91,ata,c,222,10,112,25,dom,280,140,170,6664000,339,0.50,1.00,1,14,1,0,90,40,20,72000,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
84,92,ang,b,200,38,120,10,dom,400,410,380,62320000,762,0.50,1.00,6,26,1,0,196,130,138,3516240,NA,1,0,340,206,366,25634640,1.57,1,0,147,116,116,1978032,NA,1,0,250,170,190,8075000,0.67,1,0,123,90,70,774900,NA,6
85,93,ata,b,200,38,120,10,sub,340,460,300,46920000,679,0.50,1.00,1,9,1,0,172,110,125,2365000,NA,1,0,250,209,165,8621250,0.52,1,0,149,145,136,2938280,NA,1,15,210,210,234,10319400,1.58,1,0,128,128,100,1638400,NA,8
86,94,ata,c,195,46,86,40,sub,365,250,240,21900000,506,0.50,1.00,1,18,1,0,157,71,39,434733,NA,1,0,240,107,115,2953200,NA,1,0,247,153,140,52907400,NA,1,160,300,178,185,9879000,0.53,1,0,131,100,87,1139700,NA,6
87,95,ang,c,172,60,89,35,sub,620,700,500,217000000,1307,0.50,1.00,11,12,1,0,192,139,70,1868160,NA,1,0,280,296,230,19062400,NA,1,50,345,370,358,45698700,NA,1,300,410,397,500,81385000,2.77,1,0,165,160,160,4224000,NA,17
88,96,ang,a,171,38,140,50,dom,370,400,340,50320000,698,2.00,2.00,9,16,1,0,212,120,113,2874720,1.83,1,0,130,95,104,1284400,0.82,1,0,92,74,54,367632,0.30,1,0,84,40,30,100800,0.65,0,NA,NA,NA,NA,NA,NA,NA
89,97,ata,a,188,50,132,55,sub,440,590,400,103840000,945,4.00,8.00,2,14,1,0,193,162,170,5315220,1.08,1,0,50,104,76,395200,0.32,1,0,105,105,64,705600,0.47,1,0,99,55,43,234135,0.42,0,NA,NA,NA,NA,NA,NA,NA
90,98,ang,a,202,45,130,30,dom,480,510,670,164016000,1153,6.00,12.00,16,25,1,0,193,178,135,4637790,1.63,1,0,154,100,80,1232000,0.25,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
91,99,ang,c,188,50,140,50,sub,450,500,400,90000000,889,1.00,2.00,18,18,1,0,175,135,132,3118500,NA,1,0,230,246,300,16974000,NA,1,30,320,262,310,25990400,NA,1,60,388,420,480,78220800,7.40,1,0,218,158,140,4822160,NA,27
92,100,ang,c,185,37,141,50,dom,410,430,350,61705000,759,2.50,5.00,13,12,1,0,214,148,124,3927328,NA,1,0,290,267,320,24777600,NA,1,2400,440,454,440,87894400,NA,1,850,420,445,380,71022000,5.83,1,0,165,177,190,5548950,NA,22
93,101,ang,a,189,50,146,10,dom,450,500,350,78750000,840,3.50,7.00,33,13,1,0,164,160,170,4460800,4.05,1,0,184,208,208,7960576,1.58,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
96,104,ang,c,173,53,145,60,sub,376,475,450,80370000,847,3.00,6.00,13,20,1,0,172,105,98,1769880,NA,1,0,241,209,258,12995202,NA,1,55,446,276,320,39390720,NA,1,800,500,350,200,35000000,4.67,1,0,147,142,110,2296140,NA,16
97,105,ang,c,183,50,143,40,dom,240,320,280,21504000,502,2.50,5.00,7,9,1,0,108,90,91,884520,NA,1,0,140,171,139,3327660,NA,1,0,200,215,205,8815000,NA,1,600,250,270,280,18900000,3.83,1,0,106,140,130,1929200,NA,22
98,106,ata,b,167,31,143,10,dom,310,330,300,30690000,574,2.00,4.00,1,20,1,0,154,128,112,2207744,NA,1,0,290,280,200,16240000,2.00,1,0,196,160,193,6052480,NA,1,60,243,280,260,17690400,3.15,1,0,135,155,90,1883250,NA,13
99,107,ata,b,167,31,142,20,dom,280,430,320,38528000,627,5.00,10.00,1,19,1,0,170,142,152,3669280,NA,1,0,253,253,227,14530043,1.92,1,0,170,166,160,4515200,NA,1,300,280,288,280,22579200,1.05,0,NA,NA,NA,NA,NA,NA,NA
100,108,ang,b,167,31,145,20,sub,260,155,140,5642000,322,0.50,1.00,2,15,1,0,122,78,60,570960,NA,1,0,230,210,170,8211000,0.88,1,0,167,72,72,865728,NA,1,0,260,170,160,7072000,0.67,1,0,142,90,70,894600,NA,13
101,109,ata,c,158,30,128,30,dom,270,380,350,35910000,610,2.50,5.00,1,13,1,0,168,148,145,3605280,NA,1,0,270,277,310,23184900,NA,1,240,328,410,410,55136800,NA,1,2500,310,417,400,51708000,8.27,1,0,164,146,170,4070480,NA,36
102,110,ata,c,170,37,142,30,dom,340,415,390,55029000,724,3.00,6.00,8,18,1,0,181,142,118,3032836,NA,1,0,320,300,300,28800000,NA,1,1600,334,360,360,43286400,NA,1,900,313,420,400,52584000,2.80,1,0,220,157,157,5422780,NA,13
103,111,ata,a,171,36,142,30,dom,200,310,180,11160000,399,0.50,0.50,1,13,1,0,133,80,86,915040,0.42,1,0,143,73,60,626340,0.73,1,0,150,105,86,1354500,0.72,1,0,47,24,38,42864,0.25,0,NA,NA,NA,NA,NA,NA,NA
104,112,ang,c,171,32,142,25,dom,270,245,230,15214500,444,0.50,1.00,1,10,1,0,132,120,84,1330560,NA,1,0,176,156,120,3294720,NA,1,125,220,252,190,10533600,NA,1,1100,260,190,260,12844000,2.17,1,0,158,170,160,4297600,NA,21
105,113,ata,b,150,30,145,5,dom,270,360,360,34992000,604,1.00,2.00,3,12,1,0,147,164,116,2796528,NA,1,0,223,223,200,9945800,2.12,1,0,166,110,140,2556400,NA,1,550,265,265,300,21067500,2.03,1,0,155,133,144,2968560,NA,15
106,114,ang,b,180,38,152,0,dom,250,210,170,8925000,371,0.50,1.00,2,16,1,0,144,95,92,1258560,NA,1,0,260,247,160,10275200,0.65,1,0,130,136,100,1768000,NA,1,0,300,220,270,17820000,1.33,1,0,180,125,125,2812500,NA,7
107,115,ata,a,162,35,133,30,dom,250,440,560,61600000,758,3.50,7.00,1,22,1,0,189,160,157,4747680,1.00,1,0,125,130,140,2275000,1.43,1,0,114,110,114,1429560,1.62,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
108,116,ata,c,176,35,140,8,dom,250,340,310,26350000,542,2.50,5.00,1,19,1,0,187,123,130,2990130,NA,1,0,230,220,180,9108000,NA,1,480,340,320,316,34380800,NA,1,600,280,280,360,28224000,4.27,1,0,290,180,190,9918000,NA,14
109,117,ata,c,190,30,134,25,dom,180,290,240,12528000,415,1.00,2.00,2,9,1,0,114,147,130,2178540,NA,1,0,190,220,220,9196000,NA,1,60,330,330,330,35937000,NA,1,900,304,320,360,35020800,4.03,1,0,143,180,160,4118400,NA,13
